iter	Passed	Remaining
923	21737	1787
924	21753	1763
925	21770	1739
926	21790	1715
927	21808	1692
928	21836	1668
929	21852	1644
930	21869	1620
931	21891	1597
932	21910	1573
933	21927	1549
934	21946	1525
935	21978	1502
936	22009	1479
937	22023	1455
938	22040	1431
939	22072	1408
940	22089	1384
941	22113	1361
942	22130	1337
943	22151	1314
944	22181	1291
945	22215	1268
946	22245	1244
947	22261	1221
948	22293	1198
949	22314	1174
950	22333	1150
951	22350	1126
952	22372	1103
953	22403	1080
954	22421	1056
955	22451	1033
956	22468	1009
957	22498	986
958	22519	962
959	22537	939
960	22561	915
961	22593	892
962	22624	869
963	22656	846
964	22672	822
965	22704	799
966	22725	775
967	22745	751
968	22762	728
969	22778	704
970	22798	680
971	22830	657
972	22863	634
973	22879	610
974	22910	587
975	22931	563
976	22950	540
977	22973	516
978	22989	493
979	23020	469
980	23036	446
981	23064	422
982	23083	399
983	23100	375
984	23116	352
985	23140	328
986	23158	305
987	23176	281
988	23206	258
989	23222	234
990	23239	211
991	23269	187
992	23286	164
993	23318	140
994	23334	117
995	23357	93
996	23397	70
997	23413	46
998	23442	23
999	23460	0
